pitcher,pitch_type_label,count,avg_release_speed_mph,avg_ivb_in,avg_hb_in,avg_hb_in_mirrored,total_pitches,usage_pct,throws
ANI-2454,Fastball,20,89.297,8.05,-2.468,2.468,66,0.303,R
ANI-2454,Changeup,19,80.901,-1.015,-7.219,7.219,66,0.288,R
ANI-2454,Cutter,13,89.805,6.211,3.4,-3.4,66,0.197,R
ANI-2454,Curveball,6,82.989,-9.214,-9.011,9.011,66,0.091,R
ANI-2454,Slider,5,81.012,8.826,2.845,-2.845,66,0.076,R
ANI-3338,Fastball,108,93.025,17.061,-6.267,6.267,263,0.411,R
ANI-3338,Slider,57,79.077,-2.011,3.571,-3.571,263,0.217,R
ANI-3338,Changeup,28,83.765,10.799,-9.407,9.407,263,0.106,R
ANI-3338,Cutter,26,89.747,12.575,2.019,-2.019,263,0.099,R
ANI-3338,Sinker,24,92.739,4.002,-8.297,8.297,263,0.091,R
ANI-3338,Curveball,20,78.613,-8.477,4.047,-4.047,263,0.076,R
ANI-3725,Changeup,6,59.713,12.329,-9.948,9.948,16,0.375,R
ANI-3725,Slider,5,59.605,17.624,-0.582,0.582,16,0.312,R
ANI-3812,Fastball,18,91.188,18.771,-4.104,4.104,49,0.367,R
ANI-3812,Changeup,8,83.203,13.435,-5.174,5.174,49,0.163,R
ANI-3812,Cutter,8,88.575,16.289,4.247,-4.247,49,0.163,R
ANI-3812,Curveball,6,82.623,2.177,4.821,-4.821,49,0.122,R
ANI-3812,Slider,5,81.21,8.489,6.813,-6.813,49,0.102,R
ANI-3985,Changeup,25,79.294,9.498,12.765,12.765,63,0.397,L
ANI-3985,Fastball,16,88.337,10.248,6.32,6.32,63,0.254,L
ANI-3985,Cutter,12,87.321,7.131,0.087,0.087,63,0.19,L
ANI-3985,Curveball,6,81.795,-4.873,-3.849,-3.849,63,0.095,L
ANI-4712,Fastball,49,90.132,12.841,5.151,5.151,159,0.308,L
ANI-4712,Slider,37,77.027,-1.324,-4.33,-4.33,159,0.233,L
ANI-4712,Changeup,28,81.997,10.173,9.785,9.785,159,0.176,L
ANI-4712,Cutter,24,87.36,5.663,-2.55,-2.55,159,0.151,L
ANI-4712,Curveball,16,82.506,-10.56,-2.37,-2.37,159,0.101,L
ANI-4861,Fastball,18,91.363,11.042,-10.827,10.827,43,0.419,R
ANI-4861,Slider,10,80.08,-1.775,5.419,-5.419,43,0.233,R
ANI-4861,Changeup,5,82.636,7.866,-11.294,11.294,43,0.116,R
ANI-4884,Fastball,61,90.944,16.981,-6.682,6.682,151,0.404,R
ANI-4884,Slider,31,84.36,6.971,0.505,-0.505,151,0.205,R
ANI-4884,Cutter,21,89.41,12.308,-2.534,2.534,151,0.139,R
ANI-4884,Changeup,20,84.704,11.527,-9.37,9.37,151,0.132,R
ANI-4884,Curveball,15,84.488,1.013,-1.512,1.512,151,0.099,R
ANI-5129,Fastball,18,90.734,17.189,-10.997,10.997,67,0.269,R
ANI-5129,Slider,17,84.343,10.319,1.7,-1.7,67,0.254,R
ANI-5129,Cutter,12,88.052,13.137,-1.414,1.414,67,0.179,R
ANI-5129,Curveball,7,85.282,6.645,-2.958,2.958,67,0.104,R
ANI-5129,Sinker,7,89.925,8.636,-11.017,11.017,67,0.104,R
ANI-5129,Changeup,6,85.002,15.24,-11.118,11.118,67,0.09,R
ANI-5188,Fastball,50,90.683,10.259,-4.872,4.872,133,0.376,R
ANI-5188,Slider,29,81.816,4.095,5.335,-5.335,133,0.218,R
ANI-5188,Curveball,18,79.679,-4.388,3.716,-3.716,133,0.135,R
ANI-5188,Cutter,15,87.14,8.394,3.033,-3.033,133,0.113,R
ANI-5188,Changeup,14,82.778,6.309,-4.649,4.649,133,0.105,R
ANI-5188,Sinker,7,88.659,3.033,-2.402,2.402,133,0.053,R
ANI-5245,Fastball,17,91.94,16.082,-4.996,4.996,62,0.274,R
ANI-5245,Slider,16,81.776,1.134,6.638,-6.638,62,0.258,R
ANI-5245,Changeup,13,81.894,2.116,-2.897,2.897,62,0.21,R
ANI-5245,Cutter,10,86.908,1.766,6.348,-6.348,62,0.161,R
ANI-5473,Fastball,12,88.933,12.195,-11.561,11.561,35,0.343,R
ANI-5473,Slider,12,80.809,-0.391,4.764,-4.764,35,0.343,R
ANI-5473,Changeup,5,82.348,8.102,-11.229,11.229,35,0.143,R
ANI-5688,Fastball,9,93.783,14.341,-8.405,8.405,25,0.36,R
ANI-5688,Cutter,5,91.651,6.539,-0.568,0.568,25,0.2,R
ANI-5865,Slider,23,84.839,9.094,3.049,-3.049,75,0.307,R
ANI-5865,Fastball,16,91.533,17.175,-7.25,7.25,75,0.213,R
ANI-5865,Changeup,13,83.542,10.596,-8.068,8.068,75,0.173,R
ANI-5865,Cutter,12,88.901,9.199,0.518,-0.518,75,0.16,R
ANI-5865,Sinker,7,92.571,6.868,-15.79,15.79,75,0.093,R
ANI-6616,Fastball,165,92.903,15.116,-5.946,5.946,429,0.385,R
ANI-6616,Slider,95,83.277,2.814,3.28,-3.28,429,0.221,R
ANI-6616,Changeup,76,84.577,8.377,-9.411,9.411,429,0.177,R
ANI-6616,Cutter,45,90.24,11.609,1.536,-1.536,429,0.105,R
ANI-6616,Curveball,31,84.502,-3.99,1.665,-1.665,429,0.072,R
ANI-6693,Slider,28,78.355,6.317,0.633,-0.633,74,0.378,R
ANI-6693,Fastball,18,90.361,13.152,-10.012,10.012,74,0.243,R
ANI-6693,Changeup,15,78.586,3.747,-6.591,6.591,74,0.203,R
ANI-6693,Cutter,10,85.691,8.447,-0.43,0.43,74,0.135,R
ANI-6720,Fastball,44,90.915,15.726,-5.223,5.223,144,0.306,R
ANI-6720,Slider,42,80.449,8.632,2.235,-2.235,144,0.292,R
ANI-6720,Changeup,25,80.8,9.122,-8.493,8.493,144,0.174,R
ANI-6720,Cutter,16,86.652,12.003,-0.798,0.798,144,0.111,R
ANI-6720,Curveball,11,84.384,2.124,1.31,-1.31,144,0.076,R
ANI-6943,Fastball,10,82.994,19.324,-5.151,5.151,29,0.345,R
ANI-6943,Slider,6,78.789,18.009,1.494,-1.494,29,0.207,R
ANI-6943,Curveball,5,81.03,1.996,1.368,-1.368,29,0.172,R
ANI-6963,Fastball,13,92.304,15.94,-3.344,3.344,36,0.361,R
ANI-6963,Changeup,8,84.043,9.697,-10.482,10.482,36,0.222,R
ANI-6963,Curveball,6,80.213,-6.819,5.79,-5.79,36,0.167,R
ANI-7343,Fastball,20,93.134,15.467,-8.032,8.032,73,0.274,R
ANI-7343,Slider,17,83.684,7.05,4.471,-4.471,73,0.233,R
ANI-7343,Changeup,11,84.251,11.143,-10.565,10.565,73,0.151,R
ANI-7343,Cutter,11,88.703,8.516,0.242,-0.242,73,0.151,R
ANI-7343,Sinker,10,90.861,6.496,-6.576,6.576,73,0.137,R
ANI-7563,Fastball,105,94.55,14.331,-5.593,5.593,283,0.371,R
ANI-7563,Slider,99,84.23,4.759,5.23,-5.23,283,0.35,R
ANI-7563,Changeup,28,84.756,6.244,-5.525,5.525,283,0.099,R
ANI-7563,Sinker,21,92.913,6.548,-6.251,6.251,283,0.074,R
ANI-7563,Curveball,17,87.206,-0.969,4.301,-4.301,283,0.06,R
ANI-7936,Fastball,137,89.833,13.347,-11.602,11.602,435,0.315,R
ANI-7936,Slider,129,78.145,2.229,0.068,-0.068,435,0.297,R
ANI-7936,Changeup,82,79.986,8.477,-13.026,13.026,435,0.189,R
ANI-7936,Cutter,48,85.764,8.196,-3.314,3.314,435,0.11,R
ANI-7936,Curveball,25,80.153,-5.61,0.705,-0.705,435,0.057,R
ANI-7958,Fastball,90,90.67,14.997,4.575,4.575,267,0.337,L
ANI-7958,Changeup,70,79.263,9.704,6.533,6.533,267,0.262,L
ANI-7958,Slider,39,76.453,3.777,-4.833,-4.833,267,0.146,L
ANI-7958,Cutter,33,84.711,9.142,-2.227,-2.227,267,0.124,L
ANI-7958,Curveball,28,76.653,-5.157,-8.033,-8.033,267,0.105,L
ANI-8204,Fastball,49,93.855,12.958,-6.29,6.29,135,0.363,R
ANI-8204,Slider,44,83.732,1.799,5.244,-5.244,135,0.326,R
ANI-8204,Cutter,16,89.839,8.291,0.766,-0.766,135,0.119,R
ANI-8204,Changeup,15,84.024,3.094,-4.906,4.906,135,0.111,R
ANI-9272,Fastball,17,91.679,13.044,-7.77,7.77,53,0.321,R
ANI-9272,Slider,16,85.366,4.07,0.393,-0.393,53,0.302,R
ANI-9272,Changeup,9,84.604,5.822,-7.982,7.982,53,0.17,R
ANI-9272,Cutter,5,87.907,5.555,2.805,-2.805,53,0.094,R
ANI-9487,Fastball,162,92.142,16.618,4.487,4.487,422,0.384,L
ANI-9487,Changeup,99,81.95,11.003,8.814,8.814,422,0.235,L
ANI-9487,Cutter,60,88.664,9.077,-3.45,-3.45,422,0.142,L
ANI-9487,Curveball,52,78.514,-4.764,-3.5,-3.5,422,0.123,L
ANI-9487,Slider,39,79.674,6.111,-1.373,-1.373,422,0.092,L
ANI-9650,Fastball,37,88.338,11.53,14.34,14.34,101,0.366,L
ANI-9650,Slider,25,79.26,2.018,-4.585,-4.585,101,0.248,L
ANI-9650,Changeup,13,80.971,7.704,15.872,15.872,101,0.129,L
ANI-9650,Cutter,11,85.104,9.461,1.938,1.938,101,0.109,L
ANI-9650,Curveball,9,81.375,-6.057,0.025,0.025,101,0.089,L
ANI-9650,Sinker,6,88.474,0.886,18.74,18.74,101,0.059,L
ANI-9741,Slider,125,76.787,5.609,-5.82,-5.82,345,0.362,L
ANI-9741,Fastball,116,87.739,12.065,8.431,8.431,345,0.336,L
ANI-9741,Sinker,47,86.967,2.194,11.662,11.662,345,0.136,L
ANI-9741,Changeup,23,76.692,6.238,4.158,4.158,345,0.067,L
ANI-9741,Curveball,18,82.665,-5.646,2.207,2.207,345,0.052,L
ANI-9790,Slider,48,84.482,4.897,2.147,-2.147,125,0.384,R
ANI-9790,Fastball,42,93.201,13.893,-11.275,11.275,125,0.336,R
ANI-9790,Cutter,13,89.268,8.649,-1.953,1.953,125,0.104,R
ANI-9790,Changeup,11,85.433,5.053,-8.48,8.48,125,0.088,R
ANI-9983,Fastball,20,90.49,11.872,-1.366,1.366,61,0.328,R
ANI-9983,Changeup,12,78.994,-6.527,-6.255,6.255,61,0.197,R
ANI-9983,Cutter,12,86.708,6.918,4.108,-4.108,61,0.197,R
ANI-9983,Slider,8,79.771,-0.16,3.017,-3.017,61,0.131,R
ANI-9983,Curveball,6,82.636,-15.098,-6.645,6.645,61,0.098,R
ARN-0344,Slider,21,79.175,4.962,-15.664,-15.664,49,0.429,L
ARN-0344,Fastball,18,88.991,17.916,10.391,10.391,49,0.367,L
ARN-0344,Changeup,9,82.709,3.05,12.045,12.045,49,0.184,L
ARN-0404,Fastball,46,93.655,10.019,-16.188,16.188,137,0.336,R
ARN-0404,Sinker,28,93.32,5.407,-16.446,16.446,137,0.204,R
ARN-0404,Cutter,27,91.142,9.529,-9.668,9.668,137,0.197,R
ARN-0404,Curveball,15,83.099,-3.033,3.515,-3.515,137,0.109,R
ARN-0404,Slider,13,87.467,9.258,-2.293,2.293,137,0.095,R
ARN-0404,Changeup,8,90.506,6.602,-16.573,16.573,137,0.058,R
ARN-0464,Fastball,93,90.371,20.13,-10.45,10.45,298,0.312,R
ARN-0464,Cutter,70,88.416,16.432,-3.472,3.472,298,0.235,R
ARN-0464,Changeup,60,84.231,15.851,-13.974,13.974,298,0.201,R
ARN-0464,Slider,35,84.249,12.973,-0.141,0.141,298,0.117,R
ARN-0464,Curveball,27,78.644,-0.294,1.489,-1.489,298,0.091,R
ARN-0977,Fastball,98,91.607,10.843,10.468,10.468,263,0.373,L
ARN-0977,Slider,71,81.529,6.841,-7.34,-7.34,263,0.27,L
ARN-0977,Sinker,65,91.411,3.271,12.527,12.527,263,0.247,L
ARN-0977,Curveball,15,78.249,-8.259,-10.678,-10.678,263,0.057,L
ARN-1038,Fastball,279,92.754,20.369,-4.031,4.031,529,0.527,R
ARN-1038,Slider,132,83.803,0.206,6.84,-6.84,529,0.25,R
ARN-1038,Changeup,55,86.618,11.478,-12.153,12.153,529,0.104,R
ARN-1038,Curveball,40,82.941,-2.537,7.825,-7.825,529,0.076,R
ARN-1194,Fastball,237,89.705,16.402,6.506,6.506,537,0.441,L
ARN-1194,Slider,114,77.53,-1.051,-4.419,-4.419,537,0.212,L
ARN-1194,Cutter,62,83.596,6.101,-1.708,-1.708,537,0.115,L
ARN-1194,Changeup,58,81.055,12.904,10.226,10.226,537,0.108,L
ARN-1194,Curveball,56,73.138,-7.581,-3.974,-3.974,537,0.104,L
ARN-1254,Fastball,179,94.852,18.467,8.714,8.714,417,0.429,L
ARN-1254,Slider,123,86.431,4.987,0.135,0.135,417,0.295,L
ARN-1254,Changeup,40,86.892,6.379,7.196,7.196,417,0.096,L
ARN-1254,Cutter,39,91.698,11.966,0.802,0.802,417,0.094,L
ARN-1254,Curveball,28,85.575,1.918,1.061,1.061,417,0.067,L
ARN-1366,Fastball,68,93.842,19.328,-7.127,7.127,136,0.5,R
ARN-1366,Slider,23,83.816,4.968,0.977,-0.977,136,0.169,R
ARN-1366,Cutter,16,92.085,15.021,-0.399,0.399,136,0.118,R
ARN-1366,Changeup,12,87.14,12.849,-9.225,9.225,136,0.088,R
ARN-1366,Curveball,12,83.724,-1.132,0.664,-0.664,136,0.088,R
ARN-1481,Fastball,191,89.64,17.503,-5.712,5.712,374,0.511,R
ARN-1481,Slider,77,81.957,5.149,3.915,-3.915,374,0.206,R
ARN-1481,Changeup,44,83.321,12.982,-11.485,11.485,374,0.118,R
ARN-1481,Curveball,42,76.584,-6.872,5.391,-5.391,374,0.112,R
ARN-1560,Fastball,15,97.703,19.842,-3.446,-3.446,36,0.417,L
ARN-1560,Curveball,6,86.149,3.834,6.425,6.425,36,0.167,L
ARN-1560,Cutter,6,96.395,16.881,-8.812,-8.812,36,0.167,L
ARN-1688,Fastball,23,92.024,18.784,-3.354,3.354,51,0.451,R
ARN-1688,Slider,9,86.223,6.395,5.963,-5.963,51,0.176,R
ARN-1688,Cutter,8,90.856,18.64,2.747,-2.747,51,0.157,R
ARN-1688,Curveball,6,82.948,1.255,2.223,-2.223,51,0.118,R
ARN-1688,Changeup,5,85.837,10.422,-12.574,12.574,51,0.098,R
ARN-2018,Fastball,106,94.174,17.492,-9.315,9.315,198,0.535,R
ARN-2018,Changeup,40,85.895,8.583,-15.565,15.565,198,0.202,R
ARN-2018,Curveball,21,78.451,-9.556,8.423,-8.423,198,0.106,R
ARN-2018,Slider,15,85.547,4.951,1.501,-1.501,198,0.076,R
ARN-2018,Cutter,11,92.54,13.215,-0.699,0.699,198,0.056,R
ARN-2034,Fastball,26,90.552,17.202,-5.803,5.803,52,0.5,R
ARN-2034,Slider,15,79.844,-0.508,4.241,-4.241,52,0.288,R
ARN-2034,Changeup,7,82.666,10.118,-7.972,7.972,52,0.135,R
ARN-2091,Slider,24,79.396,4.771,-14.262,-14.262,57,0.421,L
ARN-2091,Fastball,20,91.026,15.539,8.151,8.151,57,0.351,L
ARN-2091,Changeup,9,80.35,12.576,16.433,16.433,57,0.158,L
ARN-2131,Fastball,54,92.007,18.049,-7.917,7.917,131,0.412,R
ARN-2131,Slider,28,83.952,4.879,1.366,-1.366,131,0.214,R
ARN-2131,Changeup,17,86.053,8.461,-13.15,13.15,131,0.13,R
ARN-2131,Curveball,17,82.109,-2.17,-3.108,3.108,131,0.13,R
ARN-2131,Cutter,12,89.31,14.113,-1.008,1.008,131,0.092,R
ARN-2230,Fastball,81,90.964,15.573,-9.059,9.059,207,0.391,R
ARN-2230,Slider,43,80.58,5.545,3.714,-3.714,207,0.208,R
ARN-2230,Changeup,31,80.813,11.771,-14.194,14.194,207,0.15,R
ARN-2230,Sinker,21,91.07,7.625,-12.304,12.304,207,0.101,R
ARN-2230,Cutter,18,88.838,9.764,1.195,-1.195,207,0.087,R
ARN-2230,Curveball,13,79.76,0.059,2.377,-2.377,207,0.063,R
ARN-2313,Fastball,21,91.5,17.998,-1.291,1.291,40,0.525,R
ARN-2313,Slider,8,82.579,5.481,8.647,-8.647,40,0.2,R
ARN-2313,Curveball,6,81.091,-5.044,4.734,-4.734,40,0.15,R
ARN-2941,Fastball,89,88.531,11.267,4.012,4.012,201,0.443,L
ARN-2941,Slider,85,79.747,-14.483,-9.405,-9.405,201,0.423,L
ARN-2941,Changeup,11,80.47,-8.635,0.383,0.383,201,0.055,L
ARN-3012,Slider,39,81.536,4.443,6.629,-6.629,79,0.494,R
ARN-3012,Fastball,28,92.798,12.538,-14.921,14.921,79,0.354,R
ARN-3012,Changeup,6,83.139,5.496,-5.886,5.886,79,0.076,R
ARN-3087,Fastball,13,90.983,20.93,9.416,9.416,27,0.481,L
ARN-3087,Slider,10,81.144,1.285,1.132,1.132,27,0.37,L
ARN-3282,Fastball,38,94.425,20.695,-5.525,5.525,68,0.559,R
ARN-3282,Curveball,10,86.54,5.725,1.269,-1.269,68,0.147,R
ARN-3282,Slider,8,87.514,8.216,4.374,-4.374,68,0.118,R
ARN-3282,Cutter,5,92.808,18.071,-1.63,1.63,68,0.074,R
ARN-3282,Sinker,5,93.782,15.436,-5.072,5.072,68,0.074,R
ARN-3304,Fastball,55,92.485,18.288,-8.708,8.708,151,0.364,R
ARN-3304,Slider,51,85.178,7.102,2.484,-2.484,151,0.338,R
ARN-3304,Changeup,17,84.963,9.435,-5.399,5.399,151,0.113,R
ARN-3304,Cutter,14,89.246,12.305,0.447,-0.447,151,0.093,R
ARN-3401,Fastball,204,92.418,19.084,-8.003,8.003,385,0.53,R
ARN-3401,Curveball,55,78.758,-8.685,3.412,-3.412,385,0.143,R
ARN-3401,Slider,50,84.097,2.694,3.636,-3.636,385,0.13,R
ARN-3401,Changeup,39,84.032,12.624,-12.85,12.85,385,0.101,R
ARN-3401,Cutter,27,89.546,14.243,1.78,-1.78,385,0.07,R
ARN-3888,Fastball,48,87.014,13.945,16.082,16.082,136,0.353,L
ARN-3888,Slider,29,79.753,8.501,3.552,3.552,136,0.213,L
ARN-3888,Sinker,19,87.269,6.549,17.934,17.934,136,0.14,L
ARN-3888,Changeup,17,77.855,9.917,17.668,17.668,136,0.125,L
ARN-3888,Curveball,12,78.206,1.715,4.691,4.691,136,0.088,L
ARN-3888,Cutter,11,84.157,14.058,5.867,5.867,136,0.081,L
ARN-4047,Fastball,204,92.909,13.975,-15.453,15.453,386,0.528,R
ARN-4047,Slider,94,81.229,0.216,5.754,-5.754,386,0.244,R
ARN-4047,Curveball,30,80.58,-6.118,10.284,-10.284,386,0.078,R
ARN-4047,Changeup,25,86.179,10.949,-16.982,16.982,386,0.065,R
